DSD_VIEW,GROUP,TIME_PERIOD,CMPT_DATE,VALID_TO,RTN_DATE,MTIME,PK,KEY,OBS_VALUE,CNFDT_NUM,OBS_COM,UNIT_INDEX_BASE,OBS_STATUS,CNFDT_COU,CNFDT_OBS
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-10,2025-05-11,,,2025-05-11T11:07:33.305826Z,1202598905667,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,34,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-01,2025-05-11,,,2025-05-11T19:37:38.486669Z,1219774539887,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,52,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-06,2025-05-11,,,2025-05-11T19:37:38.486669Z,1236958510862,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,236,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-03,2025-05-11,,,2025-05-11T19:37:38.486669Z,429507292799,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,64,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-01,2025-05-11,,,2025-05-11T11:07:33.305826Z,1262724652582,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,41,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-06,2025-05-11,,,2025-05-11T11:07:33.305826Z,249112856758,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,55,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2024-06,2025-05-11,,,2025-05-11T19:37:38.486669Z,429507574693,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,297,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-02,2025-05-11,,,2025-05-11T11:07:33.305826Z,936307383460,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,38,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-03,2025-05-11,,,2025-05-11T19:37:38.486669Z,858997337025,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,259,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-11,2025-05-11,,,2025-05-11T19:37:38.486669Z,962076559104,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,69,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2022-12,2025-05-11,,,2025-05-11T11:07:33.305826Z,25777316021,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,275,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2024-01,2025-05-11,,,2025-05-11T19:37:38.486669Z,618483873132,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,307,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2024-09,2025-05-11,,,2025-05-11T19:37:38.486669Z,369372031261,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,48,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-02,2025-05-11,,,2025-05-11T11:07:33.305826Z,1305674089595,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,40,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2021-03,2025-05-11,,,2025-05-11T19:37:38.486669Z,206166702238,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,63,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-03,2025-05-11,,,2025-05-11T11:07:33.305826Z,249112853111,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,289,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-11,2025-05-11,,,2025-05-11T19:37:38.486669Z,962076559075,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,289,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-09,2025-05-11,,,2025-05-11T19:37:38.486669Z,592711001029,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,50,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2024-03,2025-05-11,,,2025-05-11T11:07:33.305826Z,1211186187116,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,348,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-04,2025-05-11,,,2025-05-11T11:07:33.305826Z,377968128841,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,46,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2025-08,2025-05-11,,,2025-05-11T11:07:33.305826Z,377968132144,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,1,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2021-06,2025-05-11,,,2025-05-11T19:37:38.486669Z,335015317379,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,111,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-05,2025-05-11,,,2025-05-11T19:37:38.486669Z,17183858060,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,56,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2022-04,2025-05-11,,,2025-05-11T11:07:33.305826Z,1185414081480,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,40,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-01,2025-05-11,,,2025-05-11T11:07:33.305826Z,180394745078,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,306,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-03,2025-05-11,,,2025-05-11T19:37:38.486669Z,429507277580,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,209,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-02,2025-05-11,,,2025-05-11T11:07:33.305826Z,1305674089611,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,314,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-12,2025-05-11,,,2025-05-11T19:37:38.486669Z,206166871473,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,62,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-12,2025-05-11,,,2025-05-11T11:07:33.305826Z,841821037295,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,255,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-03,2025-05-11,,,2025-05-11T19:37:38.486669Z,858997337399,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,54,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2023-04,2025-05-11,,,2025-05-11T19:37:38.486669Z,180394668493,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,38,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-07,2025-05-11,,,2025-05-11T11:07:33.305826Z,1176828450595,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,51,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2021-09,2025-05-11,,,2025-05-11T11:07:33.305826Z,979263204405,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,48,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2024-04,2025-05-11,,,2025-05-11T11:07:33.305826Z,274884330290,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,320,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2024-08,2025-05-11,,,2025-05-11T11:07:33.305826Z,1005031509410,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,28,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2022-05,2025-05-11,,,2025-05-11T11:07:33.305826Z,455271031476,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,43,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-08,2025-05-11,,,2025-05-11T11:07:33.305826Z,609892858896,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,32,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2024-05,2025-05-11,,,2025-05-11T11:07:33.305826Z,996440518822,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,391,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2022-11,2025-05-11,,,2025-05-11T11:07:33.305826Z,1142469365669,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,40,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-06,2025-05-11,,,2025-05-11T19:37:38.486669Z,1236958511120,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,90,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2024-07,2025-05-11,,,2025-05-11T11:07:33.305826Z,936307393699,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,309,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2021-07,2025-05-11,,,2025-05-11T19:37:38.486669Z,996440291277,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,167,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-09,2025-05-11,,,2025-05-11T11:07:33.305826Z,257706228461,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,348,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2024-02,2025-05-11,,,2025-05-11T19:37:38.486669Z,678610980171,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.E.A6.Z.Z.Z.Z.Z.Z.Z,48,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-03,2025-05-11,,,2025-05-11T11:07:33.305826Z,661431497616,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,37,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-09,2025-05-11,,,2025-05-11T11:07:33.305826Z,257706228661,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.ROW.Z.Z.Z.Z.Z.Z.Z,49,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2025-03,2025-05-11,,,2025-05-11T19:37:38.486669Z,927717725579,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,285,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2025-05,2025-05-11,,,2025-05-11T19:37:38.486669Z,377968049787,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,120,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Z.Y.Z.Z.Z.Z.Z.Z.Z,2023-07,2025-05-11,,,2025-05-11T11:07:33.305826Z,1142469368931,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.Z.A6.Z.Z.Z.Z.Z.Z.Z,255,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2022-12,2025-05-11,,,2025-05-11T19:37:38.486669Z,206166870023,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,208,,,Z,P,A6,PB_PB
PROSP3_SEC,PROSP3.NUM_ISSUER.M.Y.Z.Z.Z.Z.Z.Y.Y.Z.Z.Z.Z.Z.Z.Z,2024-09,2025-05-11,,,2025-05-11T19:37:38.486669Z,369372030321,PROSP3.NUM_ISSUER.M.A6.Z.Z.Z.Z.Z.D.A6.Z.Z.Z.Z.Z.Z.Z,357,,,Z,P,A6,PB_PB
