Prospectus Type,Document Type,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,ISIN,First Passporting Date,Last Update Date,National Document ID,Consideration offered,Issuer(s) Name / LEI,Host Member State(s)
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,16/10/2018,CZECHIA,,CZ0003520223,,16/10/2018,12987,,GEEN Development a.s. -  ,
Standalone Prospectus,Standalone prospectus,,13/10/2018,CZECHIA,Debt with denomination ≥ €100.000,,,23/10/2018,U04710181018095806,,Beach Resorts Investments Ltd. -  ,
Standalone Prospectus,Standalone prospectus,,10/10/2018,CZECHIA,Debt with denomination ≥ €100.000,,,25/10/2018,U04517181022094942,,"J&T ENERGY FINANCING CZK III, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,02/10/2018,CZECHIA,Debt with denomination ≥ €100.000,,,25/10/2018,U04517181022093651,,J&T SECURITIES MANAGEMENT PLC -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/10/2018,CZECHIA,,CZ0003520074,,02/10/2018,12884,,DRFG Telco Financial Management a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,28/09/2018,CZECHIA,Debt with denomination < €100.000,,,19/07/2019,U04710181001125814,,REDSTONE INVEST a.s. -  ,
Standalone Prospectus,Standalone prospectus,,27/09/2018,CZECHIA,Debt with denomination < €100.000,,,09/10/2018,U04710180927135138,,APS Finance a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,26/09/2018,CZECHIA,,CZ0003520017,,26/09/2018,12841,,DRFG Telco Financial Management a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,26/09/2018,CZECHIA,,CZ0003520025,,26/09/2018,12842,,DRFG Telco Financial Management a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,26/09/2018,CZECHIA,,CZ0003520033,,26/09/2018,12843,,DRFG Telco Financial Management a.s. -  ,
Standalone Prospectus,Standalone prospectus,,25/09/2018,CZECHIA,Debt with denomination < €100.000,,,28/09/2018,U04710180926101448,,Liberty One Methanol LLC -  ,
Base Prospectus,Base prospectus without Final terms,,25/09/2018,CZECHIA,Debt with denomination < €100.000,,,25/10/2018,U04517181003073705,,KR REAL s.r.o. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,19/09/2018,CZECHIA,,CZ0003520041,,19/09/2018,12798,,Czech-Moravian Properties a.s. -  ,
Standalone Prospectus,Standalone prospectus,,15/09/2018,CZECHIA,Shares,,,20/09/2018,U03982180918084247,,UDI CEE a.s. -  ,
Standalone Prospectus,Standalone prospectus,,14/09/2018,CZECHIA,Shares,,,18/09/2018,U04710180914113039,,Primoco UAV SE -  ,
Base Prospectus,Base prospectus without Final terms,,14/09/2018,CZECHIA,Derivative securities,,,19/09/2018,U03982180917095227,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,06/09/2018,CZECHIA,Debt with denomination < €100.000,,,14/09/2018,U04710180912162512,,DRFG Telco Financial Management a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,31/08/2018,CZECHIA,Debt with denomination < €100.000,,,29/03/2019,U03982180907082153,,"DELTA Investiční společnost, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,28/08/2018,CZECHIA,Derivative securities,,,09/10/2018,U04517180926090547,,"UniCredit Bank Czech Republic and Slovakia, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/08/2018,CZECHIA,,CZ0003519761,,25/08/2018,12022,,GEEN Development a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/08/2018,CZECHIA,,CZ0003519597,,18/08/2018,11885,,C2H Financial s.r.o. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/08/2018,CZECHIA,,CZ0003519605,,18/08/2018,11886,,C2H Financial s.r.o. -  ,
Standalone Prospectus,Standalone prospectus,,14/08/2018,CZECHIA,Debt with denomination < €100.000,,,16/08/2018,U03982180814100712,,Aquila Real Asset Finance a.s. -  ,
Standalone Prospectus,Standalone prospectus,,09/08/2018,CZECHIA,Debt with denomination < €100.000,,,17/08/2018,U04710180815093128,,PPF Financial Holdings B.V. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/08/2018,CZECHIA,,CZ0003519639,,02/08/2018,11827,,EMTC - Czech a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,19/07/2018,CZECHIA,Debt with denomination < €100.000,,,14/11/2018,U04517180727144429,,"Hypoteční banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/07/2018,CZECHIA,,CZ0003519589,,14/07/2018,11509,,Czech-Moravian Properties a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/07/2018,CZECHIA,,CZ0003519290,,13/07/2018,11507,,DRFG Real Estate Management a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/07/2018,CZECHIA,,CZ0003519282,,13/07/2018,11506,,DRFG Real Estate Management a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/07/2018,CZECHIA,,CZ0003519274,,13/07/2018,11505,,DRFG Real Estate Management a.s. -  ,
Standalone Prospectus,Standalone prospectus,,12/07/2018,CZECHIA,Debt with denomination ≥ €100.000,,,14/07/2018,U04710180712150140,,"EPH Financing CZ, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,10/07/2018,CZECHIA,Debt with denomination ≥ €100.000,,,09/10/2018,U04517180723104439,,"ČD Cargo, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,10/07/2018,CZECHIA,Debt with denomination ≥ €100.000,,,14/11/2018,U04517180801132742,,Garanční systém finančního trhu -  ,
Standalone Prospectus,Standalone prospectus,,05/07/2018,CZECHIA,Debt with denomination ≥ €100.000,,,24/07/2018,U04517180713094415,,"NET4GAS, s.r.o. -  ",
Base Prospectus,Base prospectus without Final terms,,30/06/2018,CZECHIA,Debt with denomination < €100.000,,,27/07/2019,U04710180703123741,,C2H Financial s.r.o. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/06/2018,CZECHIA,,CZ0003519423,,30/06/2018,11216,,EMTC - Czech a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,30/06/2018,CZECHIA,,CZ0003519431,,30/06/2018,11217,,EMTC - Czech a.s. -  ,
