Prospectus Type,Document Type,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,ISIN,First Passporting Date,Last Update Date,National Document ID,Consideration offered,Issuer(s) Name / LEI,Host Member State(s)
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/05/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572414,,26/04/2025,FTWS664847,Max 340000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572273,,25/04/2025,FTWS663992,Max 100000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572422,,26/04/2025,FTWS664848,Max 200000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572406,,26/04/2025,FTWS664849,Max 200000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572042,,26/04/2025,FTWS664853,Max 50000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572059,,26/04/2025,FTWS665000,Max 150000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572075,,26/04/2025,FTWS665001,Max 1000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572067,,26/04/2025,FTWS664999,Max 100000000,BICZ Bond 2024 CR s.r.o. - 3157006C8O37QWMV6H25,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ0009013272,,24/04/2025,STDA100844,From 160140000 to 266900000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ1008000831,,24/04/2025,STDA100844,From 120000000 to 600000000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ0009013272,,24/04/2025,STDA100843,From 1750440000 to 2917400000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Standalone Prospectus,Standalone prospectus,,22/04/2025,CZECHIA,Shares,CZ1008000831,,24/04/2025,STDA100843,From 1200000000 to 6000000000,ALEMAR Food Group a.s. - 315700L63KOVVLIKGM26,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,22/04/2025,CZECHIA,Derivative securities,CZ1006000288,,25/04/2025,FTWS664090,Max 1385000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003572026,,24/04/2025,FTWS663714,Max 75000000,POLYMER NANO CENTRUM s.r.o. - 315700QOCKU2X364SI23,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571622,,16/04/2025,FTWS655761,Max 65000000,DRFG IG Corporate Bonds s.r.o. - 315700OT9SWBELZVLO22,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571630,,16/04/2025,FTWS655762,Max 2600000,DRFG IG Corporate Bonds s.r.o. - 315700OT9SWBELZVLO22,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/04/2025,CZECHIA,Derivative securities,CZ1006000270,,25/04/2025,FTWS654454,Max 1300000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571788,,12/04/2025,FTWS654446,Max 25000000,DOMOPLAN a.s. - 3157006QBP42CDTPH831,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571796,,12/04/2025,FTWS654447,Max 25000000,DOMOPLAN a.s. - 3157006QBP42CDTPH831,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571978,,12/04/2025,FTWS654448,Max 25000000,DOMOPLAN a.s. - 3157006QBP42CDTPH831,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571994,,12/04/2025,FTWS654449,Max 25000000,DOMOPLAN a.s. - 3157006QBP42CDTPH831,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571689,,16/04/2025,FTWS655760,Max 39000000,TRL Space Invest s.r.o. - 315700Y2SLDACMJ9V563,
Standalone Prospectus,Standalone prospectus,,10/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571648,,17/04/2025,STDA100836,300000000,Avant Financial Group a.s. - 315700S9R9ZOQREYGS10,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571804,,25/04/2025,FTWS664084,Max 50000000,BBRS Group s.r.o. - 315700EAK4EKV6CBQ809,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571812,,25/04/2025,FTWS664085,Max 100000000,BBRS Group s.r.o. - 315700EAK4EKV6CBQ809,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571820,,25/04/2025,FTWS664086,Max 100000000,BBRS Group s.r.o. - 315700EAK4EKV6CBQ809,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571838,,25/04/2025,FTWS664087,Max 1000000,BBRS Group s.r.o. - 315700EAK4EKV6CBQ809,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571853,,25/04/2025,FTWS664089,Max 1000000,BBRS Group s.r.o. - 315700EAK4EKV6CBQ809,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571846,,25/04/2025,FTWS664088,Max 1000000,BBRS Group s.r.o. - 315700EAK4EKV6CBQ809,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571176,,11/04/2025,FTWS653688,Max 65000000,DRFG RE Project 7 s.r.o. - 315700BKLVVHEZ7WUI82,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571168,,11/04/2025,FTWS653689,Max 2600000,DRFG RE Project 7 s.r.o. - 315700BKLVVHEZ7WUI82,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571150,,11/04/2025,FTWS653687,Max 26000000,DRFG RE Project 7 s.r.o. - 315700BKLVVHEZ7WUI82,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571861,,11/04/2025,FTWS653691,Max 40000000,"SMV REZIDENČNÍ PROJEKTY, s.r.o. - 315700JOVKQUXD04PB89",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571887,,11/04/2025,FTWS653692,Max 40000000,"SMV REZIDENČNÍ PROJEKTY, s.r.o. - 315700JOVKQUXD04PB89",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571879,,11/04/2025,FTWS653690,Max 40000000,"SMV REZIDENČNÍ PROJEKTY, s.r.o. - 315700JOVKQUXD04PB89",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,04/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571580,,15/04/2025,FTWS654452,Max 45000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,04/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571598,,15/04/2025,FTWS654453,Max 2000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,04/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571606,,15/04/2025,FTWS654450,Max 25000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,04/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571614,,15/04/2025,FTWS654451,Max 35000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571507,,08/04/2025,FTWS649941,Max 50000000,Tirpák Family Invest s.r.o. - 315700QG5U8DT3EE9W34,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571390,,04/04/2025,FTWS646646,Max 100000000,EAG Finance s.r.o. - 315700X0FO63KINT3N18,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/04/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571408,,04/04/2025,FTWS646647,Max 150000000,EAG Finance s.r.o. - 315700X0FO63KINT3N18,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,31/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571200,,02/04/2025,FTWS644171,Max 65000000,3dvory s.r.o. - 315700L6CPISR48MZ615,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,31/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571473,,03/04/2025,FTWS645224,Max 300000000,CREDITAS Invest a.s. - 3157001HQ97URO6EVO36,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,31/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571481,,03/04/2025,FTWS645223,Max 300000000,CREDITAS Invest a.s. - 3157001HQ97URO6EVO36,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,28/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571424,,04/04/2025,FTWS646645,Max 50000000,Český řemínek a.s. - 315700QPM5ETJ5AW9Y96,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,28/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571416,,04/04/2025,FTWS646644,Max 50000000,Český řemínek a.s. - 315700QPM5ETJ5AW9Y96,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/03/2025,CZECHIA,Derivative securities,CZ1006000213,,31/03/2025,FTWS642584,2000000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,26/03/2025,CZECHIA,Debt with denomination ≥ €100.000,CZ0003570608,,27/03/2025,FTWS638583,Max 1875000000,"Accolade Finco Czech 2, s.r.o. - 3157005T8FZ0X95ZN793",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571275,,27/03/2025,FTWS637900,Max 50000000,H2 Global Group s.r.o. - 315700NORW0BQF1ZWP23,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570913,,27/03/2025,FTWS637791,Max 187500000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570905,,27/03/2025,FTWS637792,Max 112500000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2025,CZECHIA,Derivative securities,CZ1006000197,,31/03/2025,FTWS642583,2000000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571267,,15/04/2025,FTWS636031,Max 35000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571259,,15/04/2025,FTWS636030,Max 25000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571143,,25/04/2025,FTWS636276,Max 100000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/03/2025,CZECHIA,Derivative securities,CZ1006000205,,25/04/2025,FTWS636029,Max 2605000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,18/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571051,,20/03/2025,FTWS630439,Max 6000000000,"JTSEC CZ Financing 2, a.s. - 315700R92TAO9CB9ZX84",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571036,,18/03/2025,FTWS628029,Max 22500000,CEE Real Estate a.s. - 315700COD607IT93V359,
Standalone Prospectus,Standalone prospectus,,14/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003560047,,26/03/2025,STDA100811,1500000000,SMV INVEST a.s. - 315700RV3SYS50XYQX21,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570988,,26/04/2025,FTWS629288,Max 100000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570970,,26/04/2025,FTWS629287,Max 300000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570996,,26/04/2025,FTWS629289,Max 100000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,14/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003571002,,26/04/2025,FTWS629290,Max 100000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570632,,20/03/2025,FTWS630438,Max 20000000,"SMV REZIDENČNÍ PROJEKTY, s.r.o. - 315700JOVKQUXD04PB89",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570616,,20/03/2025,FTWS630436,Max 20000000,"SMV REZIDENČNÍ PROJEKTY, s.r.o. - 315700JOVKQUXD04PB89",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570624,,20/03/2025,FTWS630437,Max 20000000,"SMV REZIDENČNÍ PROJEKTY, s.r.o. - 315700JOVKQUXD04PB89",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570954,,20/03/2025,FTWS630435,Max 25000000,Euro Holiday House s.r.o. - 315700RW7SZNT4W03M63,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570947,,20/03/2025,FTWS630434,Max 50000000,Euro Holiday House s.r.o. - 315700RW7SZNT4W03M63,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/03/2025,CZECHIA,Derivative securities,CZ1006000189,,25/04/2025,FTWS623701,Max 4030000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570681,,04/04/2025,FTWS622608,Max 55000000,EAG Finance s.r.o. - 315700X0FO63KINT3N18,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570582,,13/03/2025,FTWS621419,Max 20000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570574,,13/03/2025,FTWS621420,Max 30000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570558,,15/04/2025,FTWS621421,Max 40000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570665,,15/04/2025,FTWS625131,Max 2000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570467,,07/03/2025,FTWS616090,Max 20000000,Jarabák Finance s.r.o. - 315700WAT6VH9NASAI43,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570483,,07/03/2025,FTWS616092,Max 20000000,Jarabák Finance s.r.o. - 315700WAT6VH9NASAI43,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,03/03/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570475,,07/03/2025,FTWS616091,Max 20000000,Jarabák Finance s.r.o. - 315700WAT6VH9NASAI43,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,28/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003709776,,31/03/2025,FTWS642581,1000000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,28/02/2025,CZECHIA,Derivative securities,CZ1006000171,,31/03/2025,FTWS642582,2000000000,"Československá obchodní banka, a. s. - Q5BP2UEQ48R75BOTCB92",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570319,,26/04/2025,FTWS614982,Max 200000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,27/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570327,,26/04/2025,FTWS614983,Max 200000000,Českomoravská Projektová VII a.s. - 31570006FBRQHFOESL15,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,26/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570061,,03/04/2025,FTWS614923,Max 1500000000,CREDITAS Invest a.s. - 3157001HQ97URO6EVO36,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003709784,,01/03/2025,FTWS608005,Max 250000000,"UniCredit Bank Czech Republic and Slovakia, a.s. - KR6LSKV3BTSJRD41IF75",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,25/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570202,,16/04/2025,FTWS612522,Max 65000000,DRFG IG Corporate Bonds s.r.o. - 315700OT9SWBELZVLO22,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570152,,04/03/2025,FTWS611775,Max 50000000,CFIG SE - 315700P49FDKAB130531,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/02/2025,CZECHIA,Derivative securities,CZ1006000163,,25/04/2025,FTWS608004,Max 2035000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569923,,25/04/2025,FTWS611774,Max 2000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569956,,27/02/2025,FTWS606040,Max 100000000,KOOR ESG SICAV a.s. - 315700TPFXKZIWNY9C56,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569881,,03/04/2025,FTWS607691,Max 300000000,CREDITAS Invest a.s. - 3157001HQ97URO6EVO36,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569899,,03/04/2025,FTWS607692,Max 300000000,CREDITAS Invest a.s. - 3157001HQ97URO6EVO36,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570079,,08/04/2025,FTWS611776,Max 139000000,Tirpák Family Invest s.r.o. - 315700QG5U8DT3EE9W34,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570087,,08/04/2025,FTWS611777,Max 180000000,Tirpák Family Invest s.r.o. - 315700QG5U8DT3EE9W34,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,19/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003570103,,27/02/2025,FTWS606655,Max 40000000,JAVOR 50 s. r. o. - 3157003A9CSHDAH6JL43,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,19/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569915,,25/04/2025,FTWS606654,,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569873,,21/02/2025,FTWS599169,Max 50000000,Emblema s.r.o. - 315700Q8M06DF7JNVH65,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569865,,21/02/2025,FTWS599170,Max 50000000,Emblema s.r.o. - 315700Q8M06DF7JNVH65,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,17/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569964,,28/02/2025,FTWS607690,Max 215000000,"Rezidence Laurová Holding, s.r.o. - 315700ILKOWIBK1H7357",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,13/02/2025,CZECHIA,Derivative securities,CZ1006000155,,25/04/2025,FTWS591497,Max 1485000,Portu Gallery Investments s.r.o. - 315700RT645NY098Y503,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569568,,20/02/2025,FTWS597385,Max 60000000,ŠAInvestment s.r.o. - 315700XY8YVTVSGUIH77,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569592,,20/02/2025,FTWS597387,Max 60000000,ŠAInvestment s.r.o. - 315700XY8YVTVSGUIH77,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569584,,20/02/2025,FTWS597386,Max 60000000,ŠAInvestment s.r.o. - 315700XY8YVTVSGUIH77,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,11/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569931,,28/02/2025,FTWS607694,Max 100000000,WOOD SEEDS s.r.o. - 3157004CFGD745LKYZ81,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569675,,26/02/2025,FTWS601597,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569691,,26/02/2025,FTWS601599,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569709,,26/02/2025,FTWS601600,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569717,,26/02/2025,FTWS601601,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569683,,26/02/2025,FTWS601598,Max 45000000,Fidurock Project Financing a.s. - 315700XP2AGET2QQS756,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569436,,27/03/2025,FTWS595902,Max 150000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569428,,27/03/2025,FTWS595903,Max 150000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569444,,27/03/2025,FTWS595904,Max 150000000,REDSTONE INVEST a.s. - 894500THHR6IWFCPE754,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569667,,20/03/2025,FTWS594818,Max 1000000000,"JTSEC CZ Financing 2, a.s. - 315700R92TAO9CB9ZX84",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569766,,12/02/2025,FTWS585629,Max 2000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/02/2025,CZECHIA,Debt with denomination < €100.000,CZ0003569790,,13/03/2025,FTWS585631,Max 20000000,"e-Finance CZ, a.s. - 315700JO04KHUWNQCF70",
