Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Standalone Prospectus,Standalone prospectus,From 31920075 to 35112082.5,,09/05/2024,ROMANIA,Shares,VRANCART SA - 254900F9AU9UW5QCBH63,ROVRJUACNOR7,,14/05/2024,,455VNC
Standalone Prospectus,Standalone prospectus,From 682819321 to 772663968.5,,07/05/2024,ROMANIA,Shares,PREMIER ENERGY PLC - 213800UAOHO8R16T5W38,CY0200900914,,08/05/2024,,446PE
Standalone Prospectus,Securities note,From 14100000 to 15900000,,27/03/2024,ROMANIA,Debt with denomination < €100.000,BITTNET SYSTEMS SA - 315700VUUQHM9VEDRO36,ROZEHU7PRXA4,,29/03/2024,,319SNBNET28A
Standalone Prospectus,Standalone prospectus,From 9600000 to 10400000,,27/03/2024,ROMANIA,Debt with denomination < €100.000,LIFE IS HARD S.A. - 25490078WKZ5VQBIYV39,ROJN6S92E1Z4,,29/03/2024,,318LIH28
Standalone Prospectus,Standalone prospectus,Max 1480518,,21/03/2024,ROMANIA,Shares,LIFE IS HARD S.A. - 25490078WKZ5VQBIYV39,ROLIHCACNOR9,,22/03/2024,,299LIH
Standalone Prospectus,Standalone prospectus,Max 3000000,,07/02/2024,ROMANIA,Debt with denomination < €100.000,IMPACT DEVELOPER & CONTRACTOR S.A. - 315700KVJ0DVH5IBI827,ROV5ZNMLOC69,,12/02/2024,,126IMP27E
Standalone Prospectus,Standalone prospectus,Max 5015000,,25/01/2024,ROMANIA,Shares,ELECTROARGES SA - 254900060TC0QQPGMW77,ROELGSACNOR6,,31/01/2024,,76ELGS
Standalone Prospectus,Standalone prospectus,Max 4182200.8,,22/12/2023,ROMANIA,Shares,FIREBYTE GAMES S.A. - 78720012FMADM8GOYX42,ROAYEN5H8FS2,,08/01/2024,,1329FRB
Standalone Prospectus,Standalone prospectus,Max 150000000,,05/12/2023,ROMANIA,Shares,ROCA INDUSTRY HOLDINGROCK1 S.A. - 254900KI39H6R4WK5I35,RO9FY9SRFU46,,08/12/2023,,1274ROC1
Standalone Prospectus,Securities note,From 9400000 to 10600000,,20/11/2023,ROMANIA,Debt with denomination < €100.000,BITTNET SYSTEMS SA - 315700VUUQHM9VEDRO36,ROQ8X2LBA629,,23/11/2023,,1223SNBNET28
Standalone Prospectus,Standalone prospectus,Max 40000000,,07/11/2023,ROMANIA,Shares,Holde Agri Invest S.A. - 787200ORNGGEJW283J46,RO5RYSUM9FJ2,,13/11/2023,,1165HAI
Standalone Prospectus,Standalone prospectus,Max 34622275.8,,10/10/2023,ROMANIA,Shares,SOCEP SA - 485100008WXQOOP8X141,ROSOCPACNOR5,,13/10/2023,,1062SOCP
Standalone Prospectus,Standalone prospectus,Max 12603865,,05/09/2023,ROMANIA,Shares,SEVERNAV S.A. - 25490018M89AMQMRRH64,ROSEVEACNOR0,,11/09/2023,,916SEVE
Standalone Prospectus,Standalone prospectus,Not applicable,,05/09/2023,ROMANIA,Shares,AROBS TRANSILVANIA SOFTWARE SA - 315700L7KC3G71QD8133,ROWMR49B0RG5,,11/09/2023,,917AROBS
Standalone Prospectus,Standalone prospectus,Max 5036407.5,,05/09/2023,ROMANIA,Shares,INOX S.A. - 254900AM9US12ZR04159,ROINOXACNOR7,,18/09/2023,,914INOX
Standalone Prospectus,Standalone prospectus,Max 900000,,19/07/2023,ROMANIA,Shares,Fides Capital S.A. - 254900Z3PH9CYMBGZG40,ROPVBSACNOR2,,25/07/2023,,728PVBS
Standalone Prospectus,Standalone prospectus,Max 53725038.4,,05/07/2023,ROMANIA,Shares,VRANCART SA - 254900F9AU9UW5QCBH63,ROVRJUACNOR7,,10/07/2023,,684VNC
Standalone Prospectus,Standalone prospectus,Max 18120262.7,,05/07/2023,ROMANIA,Shares,IOR S.A. - 254900K37FJ3DVLU2X65,ROIORBACNOR4,,10/07/2023,,683IORB
Standalone Prospectus,Standalone prospectus,Max 4353202.5,,27/06/2023,ROMANIA,Shares,CHROMOSOME DYNAMICS S.A. - 787200A1J860FOEACP15,ROZ5681K54Z2,,27/06/2023,,604CHRD
Standalone Prospectus,Standalone prospectus,From 7332668340 to 8736796320,,23/06/2023,ROMANIA,Shares,"Societatea de Producere a Energiei Electrice in Hidrocentrale ""Hidroelectrica"" S.A. - 787200IISRQXO9PRB732",RO4Q0Z5RO1B6,,10/07/2023,,641H2O
Standalone Prospectus,Standalone prospectus,Max 1906610,,29/05/2023,ROMANIA,Shares,Metalica SA - 2549008QBVJWQIPZXQ49,ROMEORACNOR0,,29/05/2023,,545MEOR
Standalone Prospectus,Securities note,From 4800000 to 5200000,,29/05/2023,ROMANIA,Debt with denomination < €100.000,BITTNET SYSTEMS SA - 315700VUUQHM9VEDRO36,RO350WCG52F3,,29/05/2023,,544SNBNET27A
Standalone Prospectus,Standalone prospectus,Max 1470350,,15/05/2023,ROMANIA,Shares,BUCOVINA SA - 315700YJSYMM5LA8IG37,ROBUCSACNOR2,,15/05/2023,,457BUCS
Standalone Prospectus,Standalone prospectus,Max 416666666.5,,04/05/2023,ROMANIA,Shares,AGRICOVER HOLDING SA - 787200UUQRJGHYOCB526,ROQ465Q4PGH5,,04/05/2023,,422AGV
Standalone Prospectus,Securities note,Not applicable,,07/03/2023,ROMANIA,Debt with denomination < €100.000,BITTNET SYSTEMS SA - 315700VUUQHM9VEDRO36,ROG2LO9OE1W3,,07/03/2023,,178SNBNET26E
Standalone Prospectus,Standalone prospectus,Max 2107874.2,,06/02/2023,ROMANIA,Shares,2PERFORMANT NETWORK S.A. - 787200H7CCY07NXFB802,ROZMYY1W6LM9,,06/02/2023,,832P
Standalone Prospectus,Standalone prospectus,Not applicable,,18/01/2023,ROMANIA,Shares,SAFETECH INNOVATIONS S.A. - 984500ED4DGA7884C439,RO0MDTLNZV25,,20/03/2024,,52SAFE
Standalone Prospectus,Standalone prospectus,Max 2132544,,17/01/2023,ROMANIA,Shares,VITIMAS SA - 25490083BAKHGISYSZ58,ROVITKACNOR6,,20/03/2024,,45VITK
Standalone Prospectus,Standalone prospectus,Max 154610814.8,,17/01/2023,ROMANIA,Shares,OIL TERMINAL SA - 315700QNENQ53MELTT73,ROOILTACNOR9,,20/01/2023,,46OIL
Standalone Prospectus,Securities note,Max 32765796.89,,16/01/2023,ROMANIA,Shares,BITTNET SYSTEMS SA - 315700VUUQHM9VEDRO36,ROBNETACNOR1,,16/01/2023,,16SNBNET
Standalone Prospectus,Standalone prospectus,Not applicable,,14/12/2022,ROMANIA,Debt with denomination < €100.000,LIBRA INTERNET BANK SA - 315700WKDD4ZSRL7HW38,ROD9FHFUKEP0,,03/10/2023,,1637LIBRA32E
Standalone Prospectus,Standalone prospectus,Max 78000000,,21/11/2022,ROMANIA,Shares,ROMCAB S.A. - 635400NZUJMMBRWXZC29,ROMCABACNOR7,,07/12/2023,,1571MCAB
Standalone Prospectus,Standalone prospectus,Max 36313447.5,,09/11/2022,ROMANIA,Shares,Sinterom SA - 2549001PWIWICWS9VB85,ROSIRMACNOR2,,11/11/2022,,1554SIRM
Standalone Prospectus,Standalone prospectus,Max 8926000,,04/11/2022,ROMANIA,Shares,TRANSPORTURI AUTO GIULESTI SA - 315700WQO4WAP0WZ6Q68,ROTRGIACNOR2,,04/11/2022,,1523TRGI
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/09/2022,21/09/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,21/09/2022,21/09/2022,AUSTRIA,PS-5635-5646
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/09/2022,21/09/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,21/09/2022,21/09/2022,AUSTRIA,PS-5635-5646
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,21/09/2022,21/09/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,21/09/2022,21/09/2022,AUSTRIA,PS-5635-5646
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,15/09/2022,15/09/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,15/09/2022,15/09/2022,AUSTRIA,PS-5627-5634
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,15/09/2022,15/09/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,15/09/2022,15/09/2022,AUSTRIA,PS-5627-5634
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,,08/09/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,,15/09/2022,,PS-5621-5624
Standalone Prospectus,Standalone prospectus,Max 463966423.4,,07/09/2022,ROMANIA,Shares,OMV PETROM SA - 549300UKYDM6L8HEPU79,ROSNPPACNOR9,,08/09/2022,,1225SNP
Standalone Prospectus,Standalone prospectus,Max 350000.08,,27/07/2022,ROMANIA,Shares,ELECTROCONSTRUCTIA ELCO ALBA IULIA SA - 254900QML0QL08TFKL51,ROEEAIACNOR5,,29/07/2022,,1008EEAI
Standalone Prospectus,Standalone prospectus,Max 64470825.45,,27/07/2022,ROMANIA,Shares,Cemacon - S.A. - 254900T01T4FKBLCWU07,ROCEONACNOR0,,29/07/2022,,1009CEON
Standalone Prospectus,Standalone prospectus,Max 27000000,,22/07/2022,ROMANIA,Shares,CONTACTOARE SA - 254900S7P90FADCRML63,ROCONQACNOR4,,22/07/2022,,957CONQ
Standalone Prospectus,Standalone prospectus,Max 6307060,,15/07/2022,ROMANIA,Shares,IOR SA - 254900K37FJ3DVLU2X65,ROIORBACNOR4,,15/07/2022,,893IORB
Standalone Prospectus,Standalone prospectus,Max 30000000,,15/07/2022,ROMANIA,Shares,META ESTATE TRUST S.A. - 7872008RCGO1U014F068,ROX9GQFJ81G8,,15/07/2022,,894MET
Standalone Prospectus,Standalone prospectus,Max 10000000,,08/07/2022,ROMANIA,Shares,LACTATE NATURA SA - 254900BRLASUBOLR5224,ROINBOACNOR3,,08/07/2022,,839INBO
Standalone Prospectus,Standalone prospectus,Max 86216652.5,,27/06/2022,ROMANIA,Shares,SOMETRA SA - 254900C5KLKD4V5WV367,ROSOMRACNOR0,,27/06/2022,,751SOMR
Standalone Prospectus,Standalone prospectus,Max 468625540.12,,27/06/2022,ROMANIA,Shares,ONE UNITED PROPERTIES S.A. - 254900MLAOUEFANMAD86,ROJ8YZPDHWW8,,27/06/2022,,750ONE
Base Prospectus,Base prospectus without Final terms,,27/06/2022,27/06/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,,27/06/2022,27/06/2022,"AUSTRIA,HUNGARY,POLAND",752
Standalone Prospectus,Standalone prospectus,Max 52857581.7,,15/06/2022,ROMANIA,Shares,Holde Agri Invest S.A. - 787200ORNGGEJW283J46,RO5RYSUM9FJ2,,15/06/2022,,704HAI
Standalone Prospectus,Standalone prospectus,Max 12839677,,19/05/2022,ROMANIA,Shares,SIMTEL TEAM SA - 787200Y8KQOGGEFS6A60,RONLG8JKKYH3,,19/05/2022,,562SMTL
Standalone Prospectus,Standalone prospectus,Max 3200000,,09/05/2022,ROMANIA,Shares,TRANSCOM SA - 315700FYBWWWBVAJYG62,ROTRVMACNOR3,,09/05/2022,,544TRVM
Standalone Prospectus,Standalone prospectus,Max 32111188.5,,18/04/2022,ROMANIA,Shares,IPROEB SA - 315700X8J7OFI1FR5R47,ROIPRUACNOR1,,03/10/2023,,461IPRU
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,15/04/2022,15/04/2022,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,15/04/2022,15/04/2022,AUSTRIA,PS-5532-5537
Standalone Prospectus,Standalone prospectus,Max 271320,,07/04/2022,ROMANIA,Shares,ALDANI MASTER CAPITAL S.A. - 2549005YY3TFZILQFQ07,ROAGQRACNOR5,,07/04/2022,,324AGQR
Standalone Prospectus,Standalone prospectus,Max 2941958.3,,29/12/2021,ROMANIA,Shares,GRIUL SA - 315700AUVCFD2JEW6H39,ROGRIUACNOR0,,29/12/2021,,1695GRIU
Standalone Prospectus,Standalone prospectus,From 366667400 to 433334200,,27/12/2021,ROMANIA,Shares,AQUILA PART PROD COM S.A. - 787200YS22N2QZNFNE81,RO7066ZEA1R9,,27/12/2021,,1397AQ
Standalone Prospectus,Standalone prospectus,Max 7311400,,23/12/2021,ROMANIA,Debt with denomination < €100.000,LIFE IS HARD S.A. - 25490078WKZ5VQBIYV39,RO8HMUKHKE50,,23/12/2021,,1308LIH25
Standalone Prospectus,Standalone prospectus,Not applicable,,21/12/2021,ROMANIA,Shares,CHIMCOMPLEX SA BORZEȘTI - 549300FCIHJZOG56WD36,ROCHOBACNOR8,,03/10/2023,,1586CHOB
Standalone Prospectus,Standalone prospectus,Max 19730000,,20/12/2021,ROMANIA,Shares,PATRIA BANK S.A. - 54930034L83M3E7JWI25,ROBACRACNOR6,,03/10/2023,,1587PBK
Standalone Prospectus,Standalone prospectus,From 40062120 to 44006460,,13/12/2021,ROMANIA,Shares,ABN SYSTEMS INTERNATIONAL SA - 7872003ZJRIJE4XXD449,RO4RE5P89AZ6,,13/12/2021,,1537ABN
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,07/02/2022,07/12/2021,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,07/02/2022,07/02/2022,AUSTRIA,PS-5436-1
Standalone Prospectus,Standalone prospectus,Max 4194629,,02/12/2021,ROMANIA,Shares,ASCENDIA S.A. - 315700DLIITW8APMVF93,ROASCIACNOR9,,02/12/2021,,1486ASC
Standalone Prospectus,Standalone prospectus,Not applicable,,02/12/2021,ROMANIA,Debt with denomination ≥ €100.000,LIBRA INTERNET BANK SA - 315700WKDD4ZSRL7HW38,ROS562L84EW2,,03/10/2023,,1485LIBRA28E
Standalone Prospectus,Standalone prospectus,Max 14454284.52,,22/11/2021,ROMANIA,Shares,AGROLAND BUSINESS SYSTEM S.A. - 984500G4WKBE7DN7A731,RO3UHXXNWZE0,,07/02/2022,,1460AG
Standalone Prospectus,Standalone prospectus,Max 17194725.8,,22/11/2021,ROMANIA,Shares,VRANCART SA - 254900F9AU9UW5QCBH63,ROVRJUACNOR7,,22/11/2021,,1457VNC
Standalone Prospectus,Standalone prospectus,Max 4409540,,19/11/2021,ROMANIA,Shares,IHUNT TECHNOLOGY IMPORT-EXPORT S.A - 254900XOY3AKZCTSWS07,RODHRTKI5XP6,,07/02/2022,,1458HUNT
Standalone Prospectus,Standalone prospectus,Max 2240775,,09/11/2021,ROMANIA,Shares,BRAICONF SA - 254900LEVII9MTRNSP17,ROBRCRACNOR0,,09/11/2021,,1404BRCR
Standalone Prospectus,Standalone prospectus,Max 10417100,,08/11/2021,ROMANIA,Shares,SAFETECH INNOVATIONS S.A. - 984500ED4DGA7884C439,RO0MDTLNZV25,,08/11/2021,,1405SAFE
Standalone Prospectus,Standalone prospectus,Max 45408232.5,,01/11/2021,ROMANIA,Shares,MARTENS S.A. - 2549001209OSKP915K65,ROMABEACNOR3,,01/11/2021,,1358MABE
Standalone Prospectus,Standalone prospectus,Not applicable,,29/10/2021,ROMANIA,Debt with denomination < €100.000,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROSYZVBBKKI6,,03/10/2023,,1325BRK26
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Not applicable,07/02/2022,27/09/2021,ROMANIA,Derivative securities,SSIF BRK FINANCIAL GROUP S.A. - 213800T6MAORDNXLY818,ROBRKOACNOR0,07/02/2022,07/02/2022,AUSTRIA,PS-5397-1
Standalone Prospectus,Standalone prospectus,Max 9780000,,22/09/2021,ROMANIA,Shares,BONAS IMPORT EXPORT S.A. - 78720009RETVZ06Y8G84,ROP96R6D57V1,,22/09/2021,,1134BONA
Standalone Prospectus,Standalone prospectus,Max 1078197.5,,08/09/2021,ROMANIA,Shares,Aurora SA - 254900PI4KJS3Q9BS818,ROAUROACNOR1,,08/09/2021,,1074AUR
Standalone Prospectus,Standalone prospectus,Max 5500000,,06/09/2021,ROMANIA,Shares,Prodlacta SA - 254900M6RNG4PM0L7259,ROPRAEACNOR2,,06/09/2021,,1016PRAE
Standalone Prospectus,Standalone prospectus,Max 47455410,,03/09/2021,ROMANIA,Shares,AVIOANE CRAIOVA SA - 254900R2UJFCK21TR217,ROAVIOACNOR8,,03/09/2021,,1050AVIO
Standalone Prospectus,Standalone prospectus,Max 19220000,,03/09/2021,ROMANIA,Shares,Star Residence Invest SA - 7872005CU7IMPL0XZT69,RON95JJEDCB1,,03/09/2021,,1051REIT
Standalone Prospectus,Standalone prospectus,Max 15488605,,27/07/2021,ROMANIA,Shares,MAGAZIN UNIVERSAL MARAMURES SA - 254900VNK9UT6YIXMH73,ROMAMAACNOR8,,27/07/2021,,925MAMA
Standalone Prospectus,Standalone prospectus,Max 850790,,24/06/2021,ROMANIA,Shares,Metalica SA - 2549008QBVJWQIPZXQ49,ROMEORACNOR0,,24/06/2021,,794MEOR
Standalone Prospectus,Standalone prospectus,From 250913674.05 to 275615020.2,,16/06/2021,ROMANIA,Shares,ONE UNITED PROPERTIES S.A. - 254900MLAOUEFANMAD86,ROJ8YZPDHWW8,,17/06/2021,,774ONE
Standalone Prospectus,Standalone prospectus,From 285000000 to 315000000,,24/05/2021,ROMANIA,Shares,TTS ( TRANSPORT TRADE SERVICES ) SA - 5493008M458S2MG7GP03,ROYCRRK66RD8,,08/12/2021,,650TTS
Standalone Prospectus,Standalone prospectus,Max 28980000,,24/05/2021,ROMANIA,Shares,Holde Agri Invest S.A. - 787200ORNGGEJW283J46,RO5RYSUM9FJ2,,24/05/2021,,659HAI
Standalone Prospectus,Standalone prospectus,Max 5245272.2,,24/05/2021,ROMANIA,Shares,2PERFORMANT NETWORK S.A. - 787200H7CCY07NXFB802,ROZMYY1W6LM9,,24/05/2021,,6582P
Standalone Prospectus,Standalone prospectus,Not applicable,,01/04/2021,ROMANIA,Debt with denomination < €100.000,AGRICOVER HOLDING S.A. - 787200UUQRJGHYOCB526,RO1ZD96WS646,,03/10/2023,,400AGRICOVER
Standalone Prospectus,Standalone prospectus,Not applicable,,25/03/2021,ROMANIA,Debt with denomination < €100.000,IMPACT DEVELOPER & CONTRACTOR S.A. - 315700KVJ0DVH5IBI827,ROJOPQP0PSW5,,03/10/2023,,363IMPACT
Standalone Prospectus,Standalone prospectus,Max 7213855,,25/02/2021,ROMANIA,Shares,NOROFERT S.A. - 254900JJHUFETMCL0552,ROHQGW108MX2,,25/02/2021,,198NOROFERT
Standalone Prospectus,Securities note,Max 10725344.5,,07/01/2021,ROMANIA,Shares,Bittnet Systems SA - 315700VUUQHM9VEDRO36,ROBNETACNOR1,,15/01/2021,,16
Standalone Prospectus,Standalone prospectus,Max 239400000,,07/01/2021,ROMANIA,Shares,CHIMCOMPLEX SA BORZESTI - 549300FCIHJZOG56WD36,ROCHOBACNOR8,,15/01/2021,,17CHIMCOMPLEX
Standalone Prospectus,Standalone prospectus,1,,23/12/2020,ROMANIA,Shares,PROMATERIS S.A. - 529900BBRUE8TIQBVV90,ROPRLAACNOR7,,23/12/2020,,1311PROMATERIS
Standalone Prospectus,Standalone prospectus,500,,22/12/2020,ROMANIA,Debt with denomination < €100.000 available only to qualified investors,PATRIA BANK S.A. - 54930034L83M3E7JWI25,ROWRHZRZD4L3,,22/12/2020,,1429
Standalone Prospectus,Standalone prospectus,.1,,22/12/2020,ROMANIA,Shares,IOR SA - 254900K37FJ3DVLU2X65,ROIORBACNOR4,,22/12/2020,,1430
Standalone Prospectus,Standalone prospectus,,,08/10/2020,ROMANIA,Shares,IFMA S.A. Bucuresti -  ,,,12/11/2020,,1212
Standalone Prospectus,Standalone prospectus,,,13/08/2020,ROMANIA,Shares,SN NUCLEARELECTRICA SA -  ,,,17/08/2020,,976
Standalone Prospectus,Standalone prospectus,,,22/07/2020,ROMANIA,Shares,RETRASIB SA Sibiu -  ,,,27/07/2020,,899
Standalone Prospectus,Standalone prospectus,,,23/06/2020,ROMANIA,Shares,AVIOANE CRAIOVA S.A. -  ,,,29/06/2020,,728
Standalone Prospectus,Standalone prospectus,,,27/05/2020,ROMANIA,Derivative securities,SINATEX S.A. Bucuresti -  ,,,04/06/2020,,636
Standalone Prospectus,Standalone prospectus,,,20/05/2020,ROMANIA,Shares,BITTNET SYSTEMS S.A. -  ,,,22/05/2020,,604
Base Prospectus,Base prospectus without Final terms,,,20/05/2020,ROMANIA,Derivative securities,BRK FINANCIAL GROUP S.A. Cluj Napoca -  ,,,22/05/2020,"AUSTRIA,HUNGARY,POLAND",603
Standalone Prospectus,Standalone prospectus,,,13/05/2020,ROMANIA,Shares,SERICO SA Bucuresti -  ,,,15/05/2020,,576
Standalone Prospectus,Standalone prospectus,,,06/05/2020,ROMANIA,Debt with denomination ≥ €100.000,RAIFFEISEN BANK S.A. Bucuresti -  ,,,18/05/2020,,559
Standalone Prospectus,Standalone prospectus,,,20/02/2020,ROMANIA,Shares,BITTNET SYSTEMS S.A. -  ,,,21/02/2020,,195
Standalone Prospectus,Standalone prospectus,,,20/02/2020,ROMANIA,Shares,SELCA S.A. Pitesti -  ,,,21/02/2020,,196
Standalone Prospectus,Standalone prospectus,,,13/02/2020,ROMANIA,Shares,SIMBETON S.A. Oradea -  ,,,14/02/2020,,171
Standalone Prospectus,Standalone prospectus,,,30/01/2020,ROMANIA,Debt with denomination < €100.000,MECANICA FINA S.A. -  ,,,10/02/2020,,101
Standalone Prospectus,Standalone prospectus,,,16/01/2020,ROMANIA,Shares,MOBEX SA Targu Mures -  ,,,21/01/2020,,30
Standalone Prospectus,Standalone prospectus,,,16/01/2020,ROMANIA,Shares,PRODHART SA Iasi -  ,,,21/01/2020,,31
Standalone Prospectus,Standalone prospectus,,,16/01/2020,ROMANIA,Shares,VES S.A. Sighisoara -  ,,,22/01/2020,,29
Standalone Prospectus,Standalone prospectus,,,18/12/2019,ROMANIA,Debt with denomination ≥ €100.000,BT LEASING TRANSILVANIA IFN S.A. Cluj Napoca -  ,,,20/12/2019,,1576
Standalone Prospectus,Standalone prospectus,,,04/12/2019,ROMANIA,Shares,AURORA S.A. Targu Frumos -  ,,,06/12/2019,,1528
Standalone Prospectus,Standalone prospectus,,,04/12/2019,ROMANIA,Shares,AVIOANE CRAIOVA S.A. -  ,,,11/12/2019,,1530
Standalone Prospectus,Standalone prospectus,,,27/11/2019,ROMANIA,Debt with denomination < €100.000,AUTONOM SERVICES S.A. Piatra-Neamt -  ,,,29/11/2019,,1486
Standalone Prospectus,Standalone prospectus,,,21/11/2019,ROMANIA,Shares,IOR SA Bucuresti -  ,,,29/11/2019,,1445
Standalone Prospectus,Standalone prospectus,,,21/11/2019,ROMANIA,Shares,METALICA S.A. Oradea -  ,,,29/11/2019,,1444
Standalone Prospectus,Standalone prospectus,,,13/11/2019,ROMANIA,Debt with denomination < €100.000,PATRIA BANK S.A. Bucuresti -  ,,,29/11/2019,,1379
Standalone Prospectus,Standalone prospectus,,,30/10/2019,ROMANIA,Shares,Societatea Energetica ELECTRICA S.A. -  ,,,31/10/2019,UNITED KINGDOM,1311
Standalone Prospectus,Standalone prospectus,,,30/10/2019,ROMANIA,Shares,LACTATE NATURA S.A. Targoviste -  ,,,04/11/2019,,1312
Standalone Prospectus,Standalone prospectus,,,16/10/2019,ROMANIA,Shares,SERICO S.A. Bucuresti -  ,,,21/10/2019,,1266SERICO
