Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Standalone Prospectus,Standalone prospectus,Max 1610497.5,,19/02/2025,ROMANIA,Shares,METALICA SA - 2549008QBVJWQIPZXQ49,ROMEORACNOR0,,24/02/2025,,154MEOR
Standalone Prospectus,Standalone prospectus,Max 25000000,,14/01/2025,ROMANIA,Debt with denomination < €100.000,STANLEYBET CAPITAL S.A. - 787200FIR3CM9XTAZI75,RO8RVBRK4M42,,17/01/2025,,12SBET29
Standalone Prospectus,Standalone prospectus,From 34500000 to 35650000,,18/12/2024,ROMANIA,Shares,GREEN TECH INTERNATIONAL S.A. - 787200K4GE13WY0JKC78,ROY8LUD7G9C1,,19/12/2024,,1296GREEN
Standalone Prospectus,Standalone prospectus,Max 4407983.8,,11/12/2024,ROMANIA,Shares,PRODLACTA SA - 254900M6RNG4PM0L7259,ROPRAEACNOR2,,13/12/2024,,1219PRAE
Standalone Prospectus,Standalone prospectus,Not applicable,,11/12/2024,ROMANIA,Debt with denomination < €100.000 available only to qualified investors,AUTONOM SERVICES S.A. - 3157007ZVHICAG5O4183,RO80MX99NKE3,,13/12/2024,,1212AUT29E
Standalone Prospectus,Standalone prospectus,Max 15000000,,29/11/2024,ROMANIA,Debt with denomination < €100.000,NOROFERT S.A. - 254900JJHUFETMCL0552,ROY1EB2A0268,,02/12/2024,,1195NRF29
Standalone Prospectus,Standalone prospectus,Max 2500000,,16/10/2024,ROMANIA,Shares,META ESTATE TRUST S.A. - 7872008RCGO1U014F068,ROX9GQFJ81G8,,21/10/2024,,1045MET
Standalone Prospectus,Standalone prospectus,Max 17672878.26,,07/08/2024,ROMANIA,Shares,PREBET AIUD SA - 254900R0KBC9MDTF1V33,ROPREBACNOR0,,12/08/2024,,827PREB
Standalone Prospectus,Standalone prospectus,Max 99900000,,07/08/2024,ROMANIA,Shares,TERAPLAST SA - 254900CX9UNGB7VM0R35,ROTRPLACNOR7,,08/08/2024,,811TRP
Standalone Prospectus,Standalone prospectus,Max 350000000,,07/08/2024,ROMANIA,Shares,ONE UNITED PROPERTIES S.A. - 254900MLAOUEFANMAD86,ROJ8YZPDHWW8,,08/08/2024,,816ONE
Standalone Prospectus,Standalone prospectus,Max 13294962.5,,31/07/2024,ROMANIA,Shares,AVIOANE CRAIOVA SA - 254900R2UJFCK21TR217,ROAVIOACNOR8,,05/08/2024,,797AVIO
Standalone Prospectus,Standalone prospectus,Max 2385984,,31/07/2024,ROMANIA,Shares,BUCOVINA SA - 315700YJSYMM5LA8IG37,ROBUCSACNOR2,,05/08/2024,,798BUCS
Standalone Prospectus,Standalone prospectus,From 3011467.6 to 11142430.12,,24/07/2024,ROMANIA,Shares,ALDANI MASTER CAPITAL S.A. - 2549005YY3TFZILQFQ07,ROAGQRACNOR5,,29/07/2024,,749AGQR
Standalone Prospectus,Standalone prospectus,Not applicable,,10/07/2024,ROMANIA,Shares,SIMTEL TEAM S.A. - 787200Y8KQOGGEFS6A60,RONLG8JKKYH3,,12/07/2024,,675SMTL
Standalone Prospectus,Standalone prospectus,Max 17411728.4,,03/07/2024,ROMANIA,Shares,IOR S.A. - 254900K37FJ3DVLU2X65,ROIORBACNOR4,,05/07/2024,,652IORB
Standalone Prospectus,Standalone prospectus,Max 162060610.53,,30/05/2024,ROMANIA,Shares,AROBS TRANSILVANIA SOFTWARE SA - 315700L7KC3G71QD8133,ROWMR49B0RG5,,03/06/2024,,507AROBS
Standalone Prospectus,Standalone prospectus,Max 65000000,,22/05/2024,ROMANIA,Shares,J.T. GRUP OIL S.A. - 7872001BVUV1UYF6QO72,ROLD2ESK82G1,,27/05/2024,,489JTG
