Prospectus Type,Document Type,Consideration offered,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,Issuer(s) Name / LEI,ISIN,First Passporting Date,Last Update Date,Host Member State(s),National Document ID
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 600000000,,24/04/2025,SLOVAKIA,Debt with denomination ≥ €100.000,"Československá obchodná banka, a.s. - 52990096Q5LMCH1WU462",SK4000027090,,25/04/2025,,100-000-890-608
Standalone Prospectus,Standalone prospectus,Max 23000000,,24/04/2025,SLOVAKIA,Debt with denomination < €100.000,CC Fi s.r.o. - 097900CAKA0000243251,SK4000027181,,25/04/2025,,NBS1-000-108-544
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 15000000,,23/04/2025,SLOVAKIA,Debt with denomination ≥ €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000027264,,23/04/2025,,100-000-888-991
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,23/04/2025,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000027173,,24/04/2025,,100-000-888-087
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 510000000,23/04/2025,22/04/2025,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003572166,23/04/2025,23/04/2025,CZECHIA,100-000-887-585
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 510000000,23/04/2025,22/04/2025,SLOVAKIA,Debt with denomination < €100.000,SAB Holding a.s. - 315700W4A4AEAU8O8745,CZ0003572174,23/04/2025,23/04/2025,CZECHIA,100-000-887-798
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 2600000,,17/04/2025,SLOVAKIA,Debt with denomination ≥ €100.000,SNP Energy Funding s. r. o. - 097900CAKA0000175836,SK4000027231,,17/04/2025,,100-000-886-454
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 25000000,,15/04/2025,SLOVAKIA,Debt with denomination < €100.000,"Slovenská sporiteľňa, a.s. - 549300S2T3FWVVXWJI89",SK4000024642,,15/04/2025,,100-000-885-400
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 5000000,,11/04/2025,SLOVAKIA,Debt with denomination < €100.000,"Penta Funding Public II, s.r.o. - 097900BIB00000125904",SK4000027140,,11/04/2025,,100-000-884-262
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 500000,,09/04/2025,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000027199,,09/04/2025,,100-000-881-709
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,09/04/2025,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000027207,,09/04/2025,,100-000-881-713
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 1000000,,09/04/2025,SLOVAKIA,Debt with denomination < €100.000,PROXENTA Fundraising s. r. o. - 097900CAKA0000031015,SK4000027215,,09/04/2025,,100-000-881-715
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",Max 50000000,,07/04/2025,SLOVAKIA,Debt with denomination < €100.000,JTSEC Financing IV a. s. - 097900CAKA0000157212,SK4000027132,,07/04/2025,,100-000-880-466
